created_at,lead_1,lead_2,lead_3
2026-07-28T21:32:44.829299+07:00,-0.019,-0.017,0.002
2026-07-28T21:32:44.833299+07:00,-0.011,-0.01,0.001
2026-07-28T21:32:44.837299+07:00,0.014,0.012,-0.001
2026-07-28T21:32:44.841299+07:00,-0.009,-0.008,0.001
2026-07-28T21:32:44.845299+07:00,-0.015,-0.014,0.002
2026-07-28T21:32:44.849299+07:00,0.028,0.025,-0.003
2026-07-28T21:32:44.853299+07:00,0.048,0.043,-0.005
2026-07-28T21:32:44.857299+07:00,0.03,0.027,-0.003
2026-07-28T21:32:44.861299+07:00,-0.01,-0.009,0.001
2026-07-28T21:32:44.865299+07:00,0.005,0.005,-0.0
2026-07-28T21:32:44.869299+07:00,0.002,0.002,0.0
2026-07-28T21:32:44.873299+07:00,0.014,0.013,-0.001
2026-07-28T21:32:44.877299+07:00,0.016,0.015,-0.001
2026-07-28T21:32:44.881299+07:00,-0.026,-0.023,0.003
2026-07-28T21:32:44.885299+07:00,0.015,0.014,-0.001
2026-07-28T21:32:44.889299+07:00,0.016,0.014,-0.001
2026-07-28T21:32:44.893299+07:00,0.0,0.0,0.0
2026-07-28T21:32:44.897299+07:00,-0.028,-0.025,0.003
2026-07-28T21:32:44.901299+07:00,0.02,0.018,-0.002
2026-07-28T21:32:44.905299+07:00,-0.005,-0.004,0.001
2026-07-28T21:32:44.909299+07:00,0.02,0.018,-0.002
2026-07-28T21:32:44.913299+07:00,-0.032,-0.029,0.004
2026-07-28T21:32:44.917299+07:00,0.017,0.016,-0.001
2026-07-28T21:32:44.921299+07:00,0.018,0.017,-0.001
2026-07-28T21:32:44.925299+07:00,-0.052,-0.046,0.006
2026-07-28T21:32:44.929299+07:00,0.048,0.044,-0.004
2026-07-28T21:32:44.933299+07:00,0.025,0.023,-0.002
2026-07-28T21:32:44.937299+07:00,0.02,0.019,-0.001
2026-07-28T21:32:44.941299+07:00,0.01,0.01,0.0
2026-07-28T21:32:44.945299+07:00,0.032,0.03,-0.001
2026-07-28T21:32:44.949299+07:00,0.006,0.008,0.002
2026-07-28T21:32:44.953299+07:00,0.014,0.017,0.003
2026-07-28T21:32:44.957299+07:00,0.024,0.029,0.004
2026-07-28T21:32:44.961299+07:00,0.044,0.049,0.006
2026-07-28T21:32:44.965299+07:00,0.01,0.022,0.012
2026-07-28T21:32:44.969299+07:00,0.015,0.03,0.015
2026-07-28T21:32:44.973299+07:00,0.032,0.049,0.016
2026-07-28T21:32:44.977299+07:00,0.078,0.091,0.014
2026-07-28T21:32:44.981299+07:00,0.078,0.091,0.014
2026-07-28T21:32:44.985299+07:00,0.056,0.07,0.014
2026-07-28T21:32:44.989299+07:00,0.051,0.063,0.012
2026-07-28T21:32:44.993299+07:00,0.014,0.026,0.012
2026-07-28T21:32:44.997299+07:00,0.032,0.039,0.007
2026-07-28T21:32:45.001299+07:00,0.066,0.066,0.0
2026-07-28T21:32:45.005299+07:00,0.039,0.04,0.001
2026-07-28T21:32:45.009299+07:00,0.029,0.029,0.0
2026-07-28T21:32:45.013299+07:00,0.036,0.035,-0.002
2026-07-28T21:32:45.017299+07:00,-0.03,-0.025,0.004
2026-07-28T21:32:45.021299+07:00,0.008,0.008,0.0
2026-07-28T21:32:45.025299+07:00,0.017,0.016,-0.001
2026-07-28T21:32:45.029299+07:00,0.036,0.033,-0.003
