created_at,lead_1,lead_2,lead_3
2026-07-28T19:05:35.319611+07:00,-0.002,-0.002,0.0
2026-07-28T19:05:35.323611+07:00,0.017,0.015,-0.002
2026-07-28T19:05:35.327611+07:00,-0.007,-0.006,0.001
2026-07-28T19:05:35.331611+07:00,0.029,0.026,-0.003
2026-07-28T19:05:35.335611+07:00,0.01,0.009,-0.001
2026-07-28T19:05:35.339611+07:00,-0.006,-0.005,0.001
2026-07-28T19:05:35.343611+07:00,0.003,0.003,-0.0
2026-07-28T19:05:35.347611+07:00,-0.025,-0.022,0.003
2026-07-28T19:05:35.351611+07:00,-0.009,-0.008,0.001
2026-07-28T19:05:35.355611+07:00,-0.025,-0.022,0.003
2026-07-28T19:05:35.359611+07:00,0.008,0.008,-0.001
2026-07-28T19:05:35.363611+07:00,-0.017,-0.015,0.002
2026-07-28T19:05:35.367611+07:00,0.037,0.034,-0.003
2026-07-28T19:05:35.371611+07:00,0.003,0.003,-0.0
2026-07-28T19:05:35.375611+07:00,0.001,0.001,0.0
2026-07-28T19:05:35.379611+07:00,0.005,0.005,-0.0
2026-07-28T19:05:35.383611+07:00,0.03,0.027,-0.003
2026-07-28T19:05:35.387611+07:00,-0.026,-0.023,0.003
2026-07-28T19:05:35.391611+07:00,-0.006,-0.005,0.001
2026-07-28T19:05:35.395611+07:00,-0.009,-0.008,0.001
2026-07-28T19:05:35.399611+07:00,0.018,0.017,-0.001
2026-07-28T19:05:35.403611+07:00,0.006,0.006,-0.0
2026-07-28T19:05:35.407611+07:00,0.011,0.01,-0.001
2026-07-28T19:05:35.411611+07:00,-0.026,-0.023,0.003
2026-07-28T19:05:35.415611+07:00,-0.016,-0.014,0.002
2026-07-28T19:05:35.419611+07:00,0.01,0.009,-0.0
2026-07-28T19:05:35.423611+07:00,0.006,0.006,-0.0
2026-07-28T19:05:35.427611+07:00,0.025,0.023,-0.002
2026-07-28T19:05:35.431611+07:00,-0.013,-0.01,0.002
2026-07-28T19:05:35.435611+07:00,-0.026,-0.022,0.004
2026-07-28T19:05:35.439611+07:00,0.012,0.014,0.002
2026-07-28T19:05:35.443611+07:00,0.0,0.005,0.004
2026-07-28T19:05:35.447611+07:00,0.024,0.028,0.004
2026-07-28T19:05:35.451611+07:00,-0.009,0.002,0.011
2026-07-28T19:05:35.455611+07:00,0.031,0.041,0.01
2026-07-28T19:05:35.459611+07:00,0.038,0.051,0.013
2026-07-28T19:05:35.463611+07:00,0.022,0.04,0.017
2026-07-28T19:05:35.467611+07:00,0.037,0.054,0.018
2026-07-28T19:05:35.471611+07:00,0.042,0.059,0.017
2026-07-28T19:05:35.475611+07:00,0.072,0.085,0.013
2026-07-28T19:05:35.479611+07:00,0.046,0.058,0.012
2026-07-28T19:05:35.483611+07:00,0.058,0.065,0.008
2026-07-28T19:05:35.487611+07:00,0.074,0.077,0.003
2026-07-28T19:05:35.491611+07:00,0.008,0.014,0.006
2026-07-28T19:05:35.495611+07:00,0.022,0.025,0.002
2026-07-28T19:05:35.499611+07:00,0.01,0.012,0.002
2026-07-28T19:05:35.503611+07:00,0.019,0.019,0.0
2026-07-28T19:05:35.507611+07:00,0.019,0.018,-0.0
2026-07-28T19:05:35.511611+07:00,-0.015,-0.013,0.003
2026-07-28T19:05:35.515611+07:00,0.01,0.01,0.0
2026-07-28T19:05:35.519611+07:00,-0.005,-0.004,0.002
2026-07-28T19:05:35.523611+07:00,-0.001,-0.0,0.001
2026-07-28T19:05:35.527611+07:00,0.039,0.036,-0.003
2026-07-28T19:05:35.531611+07:00,0.013,0.012,-0.001
2026-07-28T19:05:35.535611+07:00,0.003,-0.001,-0.004
2026-07-28T19:05:35.539611+07:00,-0.029,-0.033,-0.005
2026-07-28T19:05:35.543611+07:00,-0.012,-0.013,-0.002
2026-07-28T19:05:35.547611+07:00,0.023,0.025,0.002
2026-07-28T19:05:35.551611+07:00,0.044,0.06,0.015
2026-07-28T19:05:35.555611+07:00,0.072,0.134,0.061
2026-07-28T19:05:35.559611+07:00,0.303,0.45,0.147
2026-07-28T19:05:35.563611+07:00,0.571,0.85,0.279
2026-07-28T19:05:35.567611+07:00,0.804,1.186,0.381
2026-07-28T19:05:35.571611+07:00,0.744,1.131,0.387
2026-07-28T19:05:35.575611+07:00,0.545,0.824,0.278
2026-07-28T19:05:35.579611+07:00,0.309,0.449,0.14
2026-07-28T19:05:35.583611+07:00,0.106,0.152,0.045
2026-07-28T19:05:35.587611+07:00,-0.04,-0.037,0.003
2026-07-28T19:05:35.591611+07:00,-0.048,-0.068,-0.02
2026-07-28T19:05:35.595611+07:00,-0.132,-0.154,-0.022
2026-07-28T19:05:35.599611+07:00,-0.139,-0.164,-0.025
2026-07-28T19:05:35.603611+07:00,-0.118,-0.142,-0.024
2026-07-28T19:05:35.607611+07:00,-0.098,-0.117,-0.019
2026-07-28T19:05:35.611611+07:00,-0.032,-0.049,-0.017
2026-07-28T19:05:35.615611+07:00,-0.016,-0.026,-0.01
2026-07-28T19:05:35.619611+07:00,0.001,-0.004,-0.005
2026-07-28T19:05:35.623611+07:00,0.004,0.002,-0.002
2026-07-28T19:05:35.627611+07:00,-0.008,-0.007,0.001
2026-07-28T19:05:35.631611+07:00,-0.004,-0.002,0.001
2026-07-28T19:05:35.635611+07:00,-0.014,-0.012,0.003
2026-07-28T19:05:35.639611+07:00,0.042,0.039,-0.003
2026-07-28T19:05:35.643611+07:00,-0.016,-0.013,0.003
2026-07-28T19:05:35.647611+07:00,0.025,0.024,-0.001
2026-07-28T19:05:35.651611+07:00,-0.021,-0.018,0.004
2026-07-28T19:05:35.655611+07:00,0.057,0.053,-0.004
2026-07-28T19:05:35.659611+07:00,0.023,0.023,-0.001
2026-07-28T19:05:35.663611+07:00,0.021,0.021,-0.001
2026-07-28T19:05:35.667611+07:00,0.034,0.032,-0.002
2026-07-28T19:05:35.671611+07:00,-0.003,-0.001,0.002
2026-07-28T19:05:35.675611+07:00,0.011,0.012,0.001
2026-07-28T19:05:35.679611+07:00,0.01,0.011,0.001
2026-07-28T19:05:35.683611+07:00,0.035,0.034,-0.002
2026-07-28T19:05:35.687611+07:00,0.031,0.03,-0.001
2026-07-28T19:05:35.691611+07:00,-0.008,-0.005,0.003
2026-07-28T19:05:35.695611+07:00,0.002,0.004,0.003
2026-07-28T19:05:35.699611+07:00,0.059,0.056,-0.003
2026-07-28T19:05:35.703611+07:00,0.051,0.049,-0.001
2026-07-28T19:05:35.707611+07:00,0.033,0.034,0.001
2026-07-28T19:05:35.711611+07:00,0.036,0.038,0.002
2026-07-28T19:05:35.715611+07:00,-0.01,-0.003,0.008
2026-07-28T19:05:35.719611+07:00,0.051,0.054,0.003
2026-07-28T19:05:35.723611+07:00,0.029,0.036,0.007
2026-07-28T19:05:35.727611+07:00,0.014,0.025,0.01
2026-07-28T19:05:35.731611+07:00,0.087,0.092,0.005
2026-07-28T19:05:35.735611+07:00,0.069,0.079,0.01
2026-07-28T19:05:35.739611+07:00,0.077,0.088,0.011
2026-07-28T19:05:35.743611+07:00,0.08,0.094,0.014
2026-07-28T19:05:35.747611+07:00,0.107,0.12,0.013
2026-07-28T19:05:35.751611+07:00,0.058,0.078,0.021
2026-07-28T19:05:35.755611+07:00,0.114,0.131,0.017
2026-07-28T19:05:35.759611+07:00,0.114,0.133,0.019
2026-07-28T19:05:35.763611+07:00,0.116,0.136,0.02
2026-07-28T19:05:35.767611+07:00,0.103,0.124,0.022
2026-07-28T19:05:35.771611+07:00,0.123,0.143,0.02
2026-07-28T19:05:35.775611+07:00,0.085,0.108,0.023
2026-07-28T19:05:35.779611+07:00,0.102,0.122,0.02
2026-07-28T19:05:35.783611+07:00,0.089,0.109,0.02
2026-07-28T19:05:35.787611+07:00,0.086,0.104,0.018
2026-07-28T19:05:35.791611+07:00,0.104,0.118,0.014
2026-07-28T19:05:35.795611+07:00,0.063,0.079,0.016
2026-07-28T19:05:35.799611+07:00,0.085,0.096,0.011
2026-07-28T19:05:35.803611+07:00,0.058,0.069,0.011
2026-07-28T19:05:35.807611+07:00,0.058,0.067,0.009
2026-07-28T19:05:35.811611+07:00,0.048,0.055,0.007
2026-07-28T19:05:35.815611+07:00,0.037,0.043,0.007
2026-07-28T19:05:35.819611+07:00,0.05,0.054,0.004
2026-07-28T19:05:35.823611+07:00,0.053,0.055,0.002
2026-07-28T19:05:35.827611+07:00,0.032,0.035,0.003
2026-07-28T19:05:35.831611+07:00,0.047,0.047,0.0
2026-07-28T19:05:35.835611+07:00,0.031,0.033,0.001
2026-07-28T19:05:35.839611+07:00,0.023,0.025,0.001
2026-07-28T19:05:35.843611+07:00,0.039,0.038,-0.001
2026-07-28T19:05:35.847611+07:00,0.036,0.035,-0.001
2026-07-28T19:05:35.851611+07:00,0.008,0.01,0.002
2026-07-28T19:05:35.855611+07:00,0.041,0.04,-0.001
2026-07-28T19:05:35.859611+07:00,0.04,0.039,-0.001
2026-07-28T19:05:35.863611+07:00,0.025,0.025,0.0
2026-07-28T19:05:35.867611+07:00,0.035,0.034,-0.001
2026-07-28T19:05:35.871611+07:00,0.056,0.053,-0.003
2026-07-28T19:05:35.875611+07:00,-0.0,0.003,0.003
2026-07-28T19:05:35.879611+07:00,0.062,0.058,-0.004
2026-07-28T19:05:35.883611+07:00,0.03,0.03,-0.0
2026-07-28T19:05:35.887611+07:00,0.03,0.03,-0.0
2026-07-28T19:05:35.891611+07:00,0.061,0.057,-0.003
2026-07-28T19:05:35.895611+07:00,0.032,0.032,-0.001
2026-07-28T19:05:35.899611+07:00,0.024,0.024,0.0
2026-07-28T19:05:35.903611+07:00,0.047,0.045,-0.002
2026-07-28T19:05:35.907611+07:00,0.055,0.052,-0.003
2026-07-28T19:05:35.911611+07:00,-0.006,-0.003,0.003
2026-07-28T19:05:35.915611+07:00,0.045,0.043,-0.002
2026-07-28T19:05:35.919611+07:00,-0.03,-0.024,0.006
2026-07-28T19:05:35.923611+07:00,0.02,0.021,0.001
2026-07-28T19:05:35.927611+07:00,0.048,0.046,-0.002
2026-07-28T19:05:35.931611+07:00,0.017,0.018,0.001
2026-07-28T19:05:35.935611+07:00,0.029,0.029,-0.0
2026-07-28T19:05:35.939611+07:00,0.025,0.026,0.0
2026-07-28T19:05:35.943611+07:00,0.044,0.043,-0.002
2026-07-28T19:05:35.947611+07:00,0.028,0.028,-0.0
2026-07-28T19:05:35.951611+07:00,0.03,0.029,-0.0
2026-07-28T19:05:35.955611+07:00,0.05,0.048,-0.002
2026-07-28T19:05:35.959611+07:00,0.013,0.014,0.002
2026-07-28T19:05:35.963611+07:00,0.039,0.038,-0.001
2026-07-28T19:05:35.967611+07:00,0.027,0.027,0.0
2026-07-28T19:05:35.971611+07:00,0.024,0.025,0.0
2026-07-28T19:05:35.975611+07:00,0.02,0.021,0.001
2026-07-28T19:05:35.979611+07:00,0.048,0.046,-0.002
2026-07-28T19:05:35.983611+07:00,-0.006,-0.002,0.004
2026-07-28T19:05:35.987611+07:00,0.02,0.021,0.001
2026-07-28T19:05:35.991611+07:00,-0.008,-0.004,0.004
2026-07-28T19:05:35.995611+07:00,0.033,0.033,-0.0
2026-07-28T19:05:35.999611+07:00,0.029,0.029,0.0
2026-07-28T19:05:36.003611+07:00,0.043,0.042,-0.001
